"stable_archive_family_id","title_aliases","canonical_source_controller_path","sha256","current_website_urls","entity_type","volume_category_subfolder","publication_status","related_ids","duplicate_version_conflict_flags","placement_decision","proposed_action"
"IO-FAMILY-A_SYSTEMS_CENTERED_MANIFESTO","A Systems-Centered Manifesto on Automation, Education, and the Carceral State","src/data/archive-navigation.ts#archivePapers[a-systems-centered-manifesto]; src/data/papers.ts#paperDocuments[a-systems-centered-manifesto]","df8e41ba8c5a14a695eb83d8269bf42f4f3189753fd4e751d3d4c927f85ec386","/library/documents/a-systems-centered-manifesto/","archive-family; paper-synopsis","Volume I / Automation, Labor & Democratic Capacity; Volume I / Foundational manifesto and method / Foundational manifesto versions [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-ACCUSATION_ECONOMY","The Accusation Economy","src/data/archive-navigation.ts#archivePapers[accusation-economy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Media, race, narrative warfare, and managed democracy [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ADHD_CAGE","ADHD in a Cage","src/data/archive-navigation.ts#archivePapers[adhd-cage]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ADMINISTRATIVE_UNIVERSITY","The Administrative University","src/data/archive-navigation.ts#archivePapers[administrative-university]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / F. Education, medicine, health, and human capital / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-AI_LEARNING","Independent Observer Volume IV: AI Learning","src/data/archive-navigation.ts#archivePapers[ai-learning]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-AMERICAN-EMPIRE-NEVER-DEMOCRACY","The American Empire Was Never a Democracy | American Empire Was Never a Democracy","src/data/archive-navigation.ts#archivePapers[american-empire-never-democracy]; src/data/clearance-queue.ts#nextClearanceQueue[american-empire-was-never-a-democracy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","/library/documents/the-american-empire-was-never-a-democracy/","archive-family; clearance-queue","Volume II; Volume II / Democracy, institutions, and party power / American empire and elite continuity [primary]","Public author paper; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-ARTERIES_EMPIRE","The Arteries of Empire: Metabolic Colonization, Fast Food, and the Political Economy of Decline","src/data/archive-navigation.ts#archivePapers[arteries-empire]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / F. Education, medicine, health, and human capital / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ATTENTION_INFRASTRUCTURE_GAP","The Attention Infrastructure Gap","src/data/archive-navigation.ts#archivePapers[attention-infrastructure-gap]; src/data/clearance-queue.ts#nextClearanceQueue[attention-infrastructure-gap]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume I; Volume I / Political economy, labor, and equal opportunity / Capital amplification and equal opportunity [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-BIPARTITION_BETRAYAL","Bipartition Betrayal of Human Rights and Fiscal and Monetary Policies","src/data/archive-navigation.ts#archivePapers[bipartition-betrayal]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / E. Governance, legitimacy, and accountability / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-BORROWED-LABOR","Borrowed Labor: The Demographic Limit of Nationalist Sovereignty in Central and Eastern Europe | Borrowed Labor","src/data/archive-navigation.ts#archivePapers[borrowed-labor]; src/data/green-publications.ts#greenPublications[IO-V2-BORROWED-LABOR]","d037f42087707a2731c60314a3b4a6642cd0a06245ab8314767583fed6f7504f","/research/borrowed-labor/","archive-family; research-article","Volume II / Migration · Demography; Volume II / Empire, geopolitics, and sovereignty / Europe, NATO, and borrowed sovereignty [primary]","Public author paper; Preview-only bounded text adaptation","IO-FAMILY-DEMOCRACYS-ACHILLES-HEEL","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
