record_id,source_area,source_type,public_candidate,status,website_action,reason,audit_date
DSA-001,Independent Observer desktop / Website Feed / approved,folder,no,EMPTY_NO_AUTO_FEED,No approved intake items were present; do not infer approval,2026-08-19
DSA-002,Independent Observer desktop / independent-observer-approved-preview.zip,archive,implementation-only,REVIEWED_SITE_SOURCE,Use only as implementation provenance; never publish the raw archive,Read-only archive review found 44 Astro source and asset entries with no suspicious secret-named files absolute paths path traversal names or symlinks,2026-08-19
DSA-003,Independent Observer desktop / Documentary Projects print capture,PDF,yes,CANDIDATE_REVIEW_REQUIRED,Public-preview concepts are visible but the exact current item still needs human release approval; stale hosting URLs are excluded,2026-08-19
DSA-004,Independent Observer desktop / independent-observer-preview,site source,no,SITE_SOURCE_ONLY,Astro code assets tests and deployment scaffolding are not Dropbox editorial feed content,2026-08-19
DSA-005,Independent Observer desktop / repository governance and red-team material,audit evidence,no,INTERNAL_NOT_PUBLIC,Contains private paths provenance hashes release states and human-decision fields; do not publish raw registers,2026-08-19
DSA-006,Independent Observer desktop / original archive and research migration,archive,no,INTERNAL_NOT_PUBLIC,Original and migration material requires private provenance review and must remain preserved,2026-08-19
DSA-007,Independent Observer desktop / Creative Common Right CC 2025,rights evidence,no,INTERNAL_NOT_PUBLIC,License declarations and originality evidence are private control records rather than public feed content,2026-08-19
DSA-008,Independent Observer desktop / Social Media Archive,social archive,no,INTERNAL_NOT_PUBLIC,Archive records may contain private history; keep them separate from the public canonical site,2026-08-19
DSA-009,Independent Observer desktop / Publishing and Commercial Strategy,commercial planning,no,INTERNAL_NOT_PUBLIC,Commercial and business planning documents are not automatically public editorial content,2026-08-19
DSA-010,Independent Observer desktop / CODEX_OUTPUTS,work products,no,INTERNAL_NOT_PUBLIC,Contains audits staging revisions inventories and internal outputs,2026-08-19
DSA-011,Independent Observer desktop / external author and research records,external records,yes,CANDIDATE_REVIEW_REQUIRED,Third-party records and crosswalks need separate rights accuracy and publication review,2026-08-19
DSA-012,Independent Observer desktop / browser captures screenshots and navigation URLs,personal or navigation material,no,EXCLUDE,May contain personal browsing context or stale links and is not required for the website feed,2026-08-19
DSA-013,Independent Observer desktop / duplicate and recovery areas,duplicate or recovery material,no,INTERNAL_NOT_PUBLIC,Possible duplicates and recovered files must not be promoted until canonical authority is established,2026-08-19
DSA-014,Independent Observer desktop / business blueprint and AI working areas,planning or working material,no,INTERNAL_NOT_PUBLIC,Working drafts and operational plans require explicit editorial approval before any public summary,2026-08-19
